away_corner_kick,away_foul,away_offside,away_pass_fail,away_pass_success,away_possession,away_red_card,away_score,away_shot,away_shot_accuracy,away_shot_on_target,away_tackle_success,away_team,away_yellow_card,home_corner_kick,home_foul,home_offside,home_pass_fail,home_pass_success,home_possession,home_red_card,home_score,home_shot,home_shot_accuracy,home_shot_on_target,home_tackle_success,home_team,home_yellow_card,stadium,week
11,13,1,72,336,68,0,2,17,46.15,6,8,RANS NUSANTARA FC,3,3,12,1,69,160,32,0,3,24,40,8,23,PSM MAKASSAR,2,"Stadion Batakan, Balikpapan",34
3,15,0,62,286,57,0,0,7,0,0,23,PERSIB BANDUNG,3,8,11,2,74,224,43,1,1,16,44.44,4,23,PSS SLEMAN,5,"Stadion Manahan, Solo",34
8,8,1,82,368,57,1,1,17,50,7,13,BORNEO FC SAMARINDA,2,4,13,4,70,279,43,1,2,16,72.73,8,7,DEWA UNITED FC,5,"Stadion Kapten I Wayan Dipta, Gianyar",34
6,18,1,76,254,56,0,2,12,33.33,3,11,BALI UNITED FC,3,6,12,2,85,205,44,0,4,14,45.45,5,7,PERSITA TANGERANG,3,"Stadion Indomilk Arena, Tangerang",34
1,10,4,48,415,47,0,4,16,43.75,7,12,PS BARITO PUTERA,0,6,14,3,54,476,53,0,3,14,75,9,13,PERSIKABO 1973,2,"Stadion Sultan Agung, Bantul",34
2,11,0,81,382,51,0,1,14,45.45,5,15,PERSIS SOLO,2,3,24,1,71,375,49,0,0,9,50,4,13,BHAYANGKARA PRESISI INDONESIA FC,2,"Stadion STIK Jakarta, Jakarta Selatan",34
2,4,4,53,300,44,0,0,11,28.57,2,17,AREMA FC,1,9,7,0,53,392,56,1,0,9,16.67,1,6,MADURA UNITED FC,2,"Stadion Gelora Bangkalan, Bangkalan",34
5,10,0,52,433,57,0,1,20,61.54,8,15,PSIS SEMARANG,1,2,13,2,53,337,43,0,2,9,44.44,4,11,PERSIJA JAKARTA,0,"Stadion Gelora Bung Karno, Jakarta Pusat",34
3,11,1,83,296,55,0,1,11,62.5,5,13,PERSIK KEDIRI,2,2,15,3,67,246,45,0,2,13,46.15,6,14,PERSEBAYA SURABAYA,4,"Stadion Gelora Bung Tomo, Surabaya",34
