away_corner_kick,away_foul,away_offside,away_pass_fail,away_pass_success,away_possession,away_red_card,away_score,away_shot,away_shot_accuracy,away_shot_on_target,away_tackle_success,away_team,away_yellow_card,home_corner_kick,home_foul,home_offside,home_pass_fail,home_pass_success,home_possession,home_red_card,home_score,home_shot,home_shot_accuracy,home_shot_on_target,home_tackle_success,home_team,home_yellow_card,stadium,week
4,11,2,80,248,43,0,0,14,53.85,7,15,PERSIS SOLO,1,9,14,3,80,342,57,0,1,19,50,7,14,BORNEO FC SAMARINDA,2,"Stadion Segiri, Samarinda",20
3,15,2,59,256,38,0,5,16,75,9,13,PERSIB BANDUNG,4,5,14,0,83,426,62,0,1,13,75,6,12,DEWA UNITED FC,4,"Stadion Indomilk Arena, Tangerang",20
2,17,2,86,188,34,0,2,10,71.43,5,13,BALI UNITED FC,6,6,8,2,76,368,66,0,1,18,28.57,4,13,MADURA UNITED FC,2,"Stadion Gelora Bangkalan, Bangkalan",20
1,7,2,66,366,60,0,1,11,50,4,17,PERSIKABO 1973,2,6,18,1,73,254,40,0,3,18,58.33,7,18,PSM MAKASSAR,0,"Stadion Gelora B. J. Habibie, Pare-pare",20
7,16,2,88,293,42,0,1,16,38.46,5,18,PERSIK KEDIRI,3,4,15,0,69,407,58,1,0,8,50,3,16,AREMA FC,4,"Stadion Kapten I Wayan Dipta, Gianyar",20
7,18,0,73,303,51,1,1,11,37.5,3,13,PS BARITO PUTERA,3,2,16,5,88,292,49,0,2,11,42.86,3,15,PSS SLEMAN,0,"Stadion Maguwoharjo, Sleman",20
1,19,0,92,196,42,0,0,11,0,0,13,PSM MAKASSAR,6,7,8,2,70,280,58,0,0,8,33.33,2,13,PERSIB BANDUNG,2,"Stadion Gelora Bandung Lautan Api, Bandung",21
7,10,2,59,348,53,1,2,18,42.86,6,6,AREMA FC,2,3,14,1,84,321,47,0,3,26,56.52,13,17,BALI UNITED FC,2,"Stadion Kapten I Wayan Dipta, Gianyar",21
2,11,1,70,310,46,0,1,9,37.5,3,14,PERSITA TANGERANG,1,5,13,1,71,378,54,0,1,13,30,3,12,PERSIJA JAKARTA,2,"Stadion Gelora Bung Karno, Jakarta Pusat",21
7,16,4,84,298,44,0,2,13,50,6,21,BHAYANGKARA PRESISI INDONESIA FC,1,13,6,2,80,388,56,1,2,24,56.52,13,16,PERSIKABO 1973,2,"Stadion Wibawa Mukti, Bekasi",21
6,14,1,64,383,56,0,0,12,20,2,24,PSS SLEMAN,3,4,14,1,57,310,44,0,1,13,77.78,7,23,PSIS SEMARANG,3,"Stadion Jatidiri, Semarang",21
2,9,4,81,323,59,0,0,8,42.86,3,18,BORNEO FC SAMARINDA,2,6,6,0,74,232,41,0,0,15,45.45,5,13,PS BARITO PUTERA,1,"Stadion Demang Lehman, Martapura",21
7,20,0,68,224,40,0,0,9,60,3,13,DEWA UNITED FC,3,6,13,0,76,339,60,0,0,15,16.67,2,15,PERSIK KEDIRI,1,"Stadion Brawijaya, Kediri",21
4,24,0,94,325,62,0,0,8,0,0,15,PERSEBAYA SURABAYA,2,0,20,3,89,203,38,0,0,6,20,1,18,RANS NUSANTARA FC,2,"Stadion Maguwoharjo, Sleman",21
4,10,1,64,389,55,0,2,16,60,9,13,PERSIK KEDIRI,2,4,16,4,67,328,45,0,0,10,60,6,15,PERSIB BANDUNG,1,"Stadion Gelora Bandung Lautan Api, Bandung",22
5,11,2,76,437,54,0,1,12,77.78,7,7,PERSIKABO 1973,0,4,12,1,92,382,46,0,2,10,57.14,4,12,PERSITA TANGERANG,2,"Stadion Indomilk Arena, Tangerang",22
3,10,0,67,207,46,1,1,10,62.5,5,15,PS BARITO PUTERA,5,4,10,2,49,247,54,0,4,12,66.67,6,13,MADURA UNITED FC,2,"Stadion Gelora Bangkalan, Bangkalan",22
4,6,3,67,323,44,0,0,9,50,4,15,PSIS SEMARANG,0,5,12,1,69,414,56,0,2,16,69.23,9,25,BORNEO FC SAMARINDA,1,"Stadion Segiri, Samarinda",22
7,12,2,89,423,66,1,1,24,43.75,7,8,PERSIS SOLO,4,3,13,1,72,224,34,0,3,20,50,8,10,AREMA FC,2,"Stadion Kapten I Wayan Dipta, Gianyar",22
3,18,0,74,309,50,0,1,10,40,2,12,PERSIJA JAKARTA,4,3,16,4,73,317,50,0,1,15,55.56,5,14,PERSEBAYA SURABAYA,3,"Stadion Gelora Bung Tomo, Surabaya",22
5,10,1,92,339,56,0,0,10,12.5,1,12,RANS NUSANTARA FC,3,2,13,2,85,272,44,0,1,14,40,4,12,PSS SLEMAN,3,"Stadion Maguwoharjo, Sleman",22
3,19,4,74,332,54,0,1,9,42.86,3,13,BHAYANGKARA PRESISI INDONESIA FC,4,10,6,3,99,286,46,0,1,17,41.67,5,20,PSM MAKASSAR,1,"Stadion Gelora B. J. Habibie, Pare-pare",22
13,18,1,110,249,51,0,1,14,60,6,8,BALI UNITED FC,2,5,14,2,103,244,49,0,1,10,77.78,7,18,DEWA UNITED FC,2,"Stadion Indomilk Arena, Tangerang",22
3,19,2,63,233,51,0,0,11,25,2,10,PERSIB BANDUNG,4,4,20,3,79,229,49,1,0,17,31.25,5,17,BALI UNITED FC,6,"Stadion Kapten I Wayan Dipta, Gianyar",23
5,8,0,74,198,32,0,1,16,38.46,5,20,PSM MAKASSAR,2,3,12,2,70,421,68,0,1,13,44.44,4,13,PERSIK KEDIRI,1,"Stadion Brawijaya, Kediri",23
6,17,0,85,346,62,0,0,12,10,1,13,PERSITA TANGERANG,2,3,16,9,92,216,38,0,3,15,77.78,7,6,BHAYANGKARA PRESISI INDONESIA FC,3,"Stadion Patriot Chandra Bhaga, Bekasi",23
2,11,1,92,438,64,0,0,12,44.44,4,17,AREMA FC,1,10,9,0,76,249,36,0,1,25,42.11,8,11,PS BARITO PUTERA,0,"Stadion Demang Lehman, Martapura",23
3,20,1,78,213,33,0,1,7,60,3,23,PERSEBAYA SURABAYA,4,11,17,1,75,435,67,0,1,21,46.15,6,12,PERSIKABO 1973,1,"Stadion Wibawa Mukti, Bekasi",23
4,17,2,71,320,47,0,2,16,61.54,8,22,DEWA UNITED FC,3,10,12,0,71,365,53,0,1,18,57.14,8,16,PERSIS SOLO,3,"Stadion Manahan, Solo",23
1,11,2,94,350,48,0,0,8,40,2,14,PSS SLEMAN,2,1,16,2,80,388,52,0,1,12,25,2,8,PERSIJA JAKARTA,4,"Stadion Patriot Chandra Bhaga, Bekasi",23
3,15,4,93,286,49,0,1,9,71.43,5,15,BORNEO FC SAMARINDA,2,4,14,5,85,309,51,0,0,11,55.56,5,9,RANS NUSANTARA FC,2,"Stadion Sultan Agung, Bantul",23
5,20,0,57,185,31,0,2,10,33.33,2,18,MADURA UNITED FC,2,3,4,0,62,420,69,0,2,20,33.33,6,14,PSIS SEMARANG,3,"Stadion Jatidiri, Semarang",23
7,15,1,92,345,59,0,1,16,66.67,8,18,PERSIS SOLO,2,5,16,2,90,242,41,0,1,11,40,4,14,PERSEBAYA SURABAYA,3,"Stadion Gelora Bung Tomo, Surabaya",23
6,15,4,90,398,60,0,1,16,50,6,15,PERSIJA JAKARTA,3,6,11,1,70,276,40,0,3,10,55.56,5,13,BORNEO FC SAMARINDA,1,"Stadion Batakan, Balikpapan",24
